Category,Logo,Tool,Type,Website,What it does,Approx cost (Jun 2026),Works with Claude?,Pros,Cons,Best for,Integration /10,Cost value /10,Functionality /10,Overall,Rank in category
AI Sales & CRM,,Salesforce (Agentforce),Paid,salesforce.com,Enterprise CRM leader with Agentforce AI agents and Einstein AI,From $25/user/mo; Agentforce usage-priced extra,Yes — Claude available in Agentforce via the Anthropic partnership,Enterprise standard; AI agents on your own CRM data,Cost and complexity stack quickly,Mid-size to enterprise sales orgs,9,4,9,7.3,3
AI Sales & CRM,,Pipedrive,Paid,pipedrive.com,Easy SMB sales CRM with AI sales assistant and automations,From $14/user/mo,No,Fast to adopt; great pipeline view; fair price,Light for complex enterprise needs,SMB sales teams,6,7,7,6.7,7
AI Sales & CRM,,Clari,Paid,clari.com,"Revenue platform: AI forecasting, deal inspection, pipeline health",Enterprise custom pricing,No,Best-in-class forecasting accuracy,Enterprise price; needs clean CRM data,Revenue leaders at 50+ rep orgs,6,3,8,5.7,12
AI Sales & CRM,,Attention,Paid,attention.com,"AI sales assistant: call recording, auto CRM fill, coaching, follow-up emails",From ~$50/user/mo (custom),No,Strong CRM-hygiene automation; fast follow-ups,Younger than Gong; custom pricing,Mid-market sales teams,5,5,7,5.7,13
AI Sales Outreach & Prospecting,,ZoomInfo Copilot,Paid,zoominfo.com,B2B contact/company database with intent data and an AI copilot,From ~$15k/yr (contract),No,Deepest B2B data + buying-intent signals,Expensive annual contracts,Enterprise outbound teams,6,3,9,6.0,5
AI Sales Outreach & Prospecting,,Lusha,Freemium,lusha.com,B2B contact data via web app and Chrome extension,Free; from $36/user/mo,No,Easy to use; compliance-focused data,Smaller database than ZoomInfo,SDRs needing quick contact data,5,6,6,5.7,12
AI Sales Outreach & Prospecting,,Seamless.AI,Freemium,seamless.ai,Real-time AI search engine for B2B contact information,Free credits; from ~$147/mo,No,Real-time verification; high volumes,Data-accuracy complaints; pushy sales motion,High-volume prospectors,4,5,6,5.0,19
AI Sales Outreach & Prospecting,,Instantly,Paid,instantly.ai,"Cold email at scale: warmup, inbox rotation, deliverability, AI writing",From $37/mo,No,Best-known deliverability stack; unlimited sending accounts,Cold-email compliance is on you,Agencies and outbound startups,5,7,7,6.3,3
AI Sales Outreach & Prospecting,,Smartlead,Paid,smartlead.ai,Cold email infrastructure with unlimited mailboxes and AI warmup,From $39/mo,No,Unlimited mailboxes; API-first,UI rough edges,Outbound agencies,5,7,7,6.3,4
AI Sales Outreach & Prospecting,,lemlist,Paid,lemlist.com,Multichannel outreach (email/LinkedIn/calls) with AI personalisation,From $39/user/mo,No,"Strong personalisation (images, dynamic content)",Per-seat costs add up,SDRs doing personalised sequences,5,6,7,6.0,6
