Category,Tool,Type,Website,What it does,Approx cost (Jun 2026),Works with Claude?,Pros,Cons,Best for,Integration /10,Cost value /10,Functionality /10,Overall
AI Chatbots & Assistants,Claude,Freemium,claude.ai,"Anthropic's AI assistant: chat, analysis, coding, artifacts, Projects, Research mode",Free; Pro $20/mo; Max $100-200/mo,"Native — this IS Claude; MCP connectors to Drive, Notion, Canva etc.",Best-in-class reasoning & writing; strong coding; MCP ecosystem,No image generation; usage limits on lower tiers,"Knowledge workers, developers, writers, analysts",10,8,10,9.3
AI Chatbots & Assistants,ChatGPT,Freemium,chatgpt.com,"OpenAI's assistant: chat, image gen (DALL-E/4o), voice, Sora access, custom GPTs",Free; Plus $20/mo; Pro $200/mo,No — competing assistant (can be paired via API in apps),Most features in one app; huge plugin/GPT ecosystem; images + voice,Quality varies by model; privacy concerns for some orgs,General consumers and broad multi-modal use,7,8,10,8.3
AI Chatbots & Assistants,Google Gemini,Freemium,gemini.google.com,"Google's assistant integrated with Workspace, Search, NotebookLM; long context",Free; AI Pro $20/mo; Ultra $250/mo,No — competing assistant,Deep Google Workspace integration; huge context window; Veo video,Less consistent for complex coding; tied to Google ecosystem,Google Workspace users,7,8,9,8.0
AI Chatbots & Assistants,Microsoft Copilot,Freemium,copilot.microsoft.com,"Microsoft's assistant across Windows, Edge, Bing and Microsoft 365 apps",Free; Copilot Pro $20/mo; M365 Copilot $30/user/mo,No — consumer Copilot uses OpenAI (GitHub Copilot does offer Claude),Built into Office/Windows; enterprise data protection,Quality lags rivals; M365 Copilot pricey per seat,Microsoft 365 organisations,7,7,8,7.3
AI Chatbots & Assistants,Perplexity,Freemium,perplexity.ai,"AI answer engine with live web search, citations and Deep Research",Free; Pro $20/mo; Max $200/mo,Yes — Claude selectable as a model on Pro,"Cited, current answers; multi-model choice; great research UX",Not a full work assistant; limited doc/file workflows,Researchers and anyone replacing web search,8,8,8,8.0
AI Chatbots & Assistants,Grok,Freemium,grok.com,xAI's assistant with real-time X (Twitter) data and an irreverent tone,Free (limited); SuperGrok $30/mo; via X Premium+,No,Real-time social data; fast; generous free tier,Weaker ecosystem/integrations; X-centric,"Social-media-heavy users, news tracking",5,7,7,6.3
AI Chatbots & Assistants,DeepSeek,Free,deepseek.com,Chinese open-weight frontier models (V3/R1) with free chat app and cheap API,Free app; very cheap API,No,Strong reasoning for free; open weights; ultra-cheap API,Data residency/privacy concerns; weaker tooling,"Budget-conscious users, self-hosters",5,10,8,7.7
AI Chatbots & Assistants,Meta AI,Free,meta.ai,"Meta's Llama-powered assistant in WhatsApp, Instagram, Messenger and web",Free,No,Free; everywhere in Meta apps; open Llama lineage,Behind frontier rivals; ads/data trade-offs,Casual users already in Meta apps,4,10,6,6.7
AI Chatbots & Assistants,Open WebUI,Open source (GitHub),github.com/open-webui/open-webui,Self-hosted ChatGPT-style web UI for local (Ollama) and API models,Free (self-host),Yes — connect Anthropic API key to chat with Claude,"Private; multi-model; RAG, tools, users built in",You run/maintain it; needs API keys or a GPU,Teams wanting a private multi-model chat portal,8,10,8,8.7
AI Chatbots & Assistants,LibreChat,Open source (GitHub),github.com/danny-avila/LibreChat,"Open-source multi-provider chat UI (Anthropic, OpenAI, Google, local)",Free (self-host),Yes — first-class Anthropic/Claude endpoint support,"All providers in one UI; agents, RAG, MCP support",Setup/maintenance overhead,Companies standardising on one chat front-end,8,10,8,8.7
AI Chatbots & Assistants,Jan,Open source (GitHub),jan.ai,"Offline-first desktop AI app running local models, with remote API option",Free,Yes — add Anthropic API as remote engine,100% local/private option; simple install,Local models need decent hardware,Privacy-first individuals,7,10,6,7.7
AI Chatbots & Assistants,Ollama,Open source (GitHub),ollama.com,"Run open LLMs (Llama, Mistral, DeepSeek, Qwen) locally with one command",Free,No — runs open models; pairs alongside Claude tools,Dead-simple local LLMs; big model library; API server,No hosted models; hardware-bound quality,Developers and tinkerers running local models,7,10,7,8.0
